STD_Lock,1,4176756561
TBB,1,4965179991
WFC_Laborde 4,1,20043307234
WFC_Laborde 8,1,13722343042
LibCDS_Feldman 4,1,12626598372
LibCDS_Feldman 8,1,10394461371
LibCDS_Michael 1,1,8127271596
Xenium_Michael,1,14559800394
LibCDS_SplitOrdered 1,1,22436605561
STD_Lock,4,11194821828
TBB,4,2081912518
WFC_Laborde 4,4,6251792197
WFC_Laborde 8,4,4454308935
LibCDS_Feldman 4,4,3082359908
LibCDS_Feldman 8,4,2563895890
LibCDS_Michael 1,4,2092853853
Xenium_Michael,4,4554282819
LibCDS_SplitOrdered 1,4,5956794989
STD_Lock,8,13060757964
TBB,8,867283994
WFC_Laborde 4,8,3403301580
WFC_Laborde 8,8,2229361273
LibCDS_Feldman 4,8,1488712942
LibCDS_Feldman 8,8,1236248769
LibCDS_Michael 1,8,1073278870
Xenium_Michael,8,2365432918
LibCDS_SplitOrdered 1,8,2969445062
STD_Lock,16,12291586428
TBB,16,501216023
WFC_Laborde 4,16,1981666655
WFC_Laborde 8,16,1324462548
LibCDS_Feldman 4,16,946342359
LibCDS_Feldman 8,16,694037004
LibCDS_Michael 1,16,640387938
Xenium_Michael,16,1224388636
LibCDS_SplitOrdered 1,16,1620483078
STD_Lock,32,12809646105
TBB,32,332614807
WFC_Laborde 4,32,1324311820
WFC_Laborde 8,32,1171300560
LibCDS_Feldman 4,32,553635292
LibCDS_Feldman 8,32,418435000
LibCDS_Michael 1,32,430294196
Xenium_Michael,32,646268014
LibCDS_SplitOrdered 1,32,954993223
